,codeCompagnie,NbrSinistre,typeIntermediaire,VolontaireAccidents,CountSinisterAdvr,naturePolice,Etat_Police,vehicule_id,assure_id,classeBonusMalus,CONTRAT_EN_COURS,puissanceFiscal,energie,etatVehicule,libUsage,identificationTiers,pourcentadeDeResponsabilite,porcentageCompagnieAdverse,natureDuSinistre,annee_dateOuvertureDuSinistre,Duree,Fraud,annee_effet_police,mois_effet_police,jour_effet_police,annee_date_Calcule,mois_date_Calcule,jour_date_Calcule,mois_dateOuvertureDuSinistre,jour_dateOuvertureDuSinistre,mois_dateEcheancePolice,jour_dateEcheancePolice
0,1,1,1,0.0,1,0,2,32236,29871,1,0,7,3,1,7,3,0,100,0,2017,4005,0,2008,5,13,2019,5,1,4,6,5,13
1,1,1,1,1.0,1,0,2,32513,30144,3,0,4,3,1,9,3,100,0,1,2017,1812,0,2014,5,15,2019,5,1,3,29,5,15
2,1,1,1,1.0,1,0,0,32573,30204,4,1,4,2,1,4,3,100,0,1,2016,366,0,2015,5,15,2016,5,15,11,22,5,15
3,1,1,1,1.0,1,0,0,32729,30350,2,1,4,3,1,9,3,100,0,1,2017,3653,0,2007,5,28,2017,5,28,1,17,5,28
4,1,1,1,0.0,1,0,0,32768,30388,6,1,4,3,1,9,3,100,0,0,2016,3288,0,2008,1,9,2017,1,9,11,23,1,9
5,1,1,1,1.0,1,0,2,32836,30456,3,1,4,3,1,9,3,100,0,1,2016,3287,0,2008,7,23,2017,7,23,12,1,7,23
6,1,1,1,0.0,1,0,0,33224,30841,7,1,5,2,1,9,3,50,50,0,2017,1096,0,2014,6,18,2017,6,18,5,5,6,18
7,4,1,2,1.0,1,0,0,92394,84366,2,1,5,3,1,13,3,100,0,1,2017,0,0,2016,10,30,2016,10,30,4,24,10,29
8,4,1,2,1.0,1,0,0,92445,83559,3,1,10,3,1,13,3,100,0,1,2017,0,0,2016,11,25,2016,11,25,10,21,11,24
9,4,1,2,1.0,1,0,0,92484,84453,4,1,5,2,1,8,3,0,0,1,2017,0,0,2016,12,19,2016,12,19,5,3,12,18
10,4,1,2,1.0,1,0,0,92605,84570,3,1,12,3,1,13,3,100,0,1,2017,0,0,2017,2,17,2017,2,17,9,19,2,16
11,4,2,2,1.0,1,0,0,92861,84809,4,1,5,2,1,8,3,0,0,1,2017,0,0,2017,3,17,2017,3,17,9,29,3,16
12,4,1,2,2.0,2,0,0,92861,84809,4,1,5,2,1,8,3,100,0,1,2017,0,1,2017,3,17,2017,3,17,8,8,3,16
13,4,1,2,1.0,1,0,2,92895,84841,6,0,6,2,1,8,3,0,0,1,2017,709,0,2017,3,22,2019,3,1,3,30,3,21
14,4,1,2,1.0,1,0,2,92927,84874,6,1,5,3,1,13,3,50,0,1,2017,707,0,2017,3,24,2019,3,1,6,5,3,23
15,1,1,1,1.0,1,0,2,31000,28670,1,1,5,2,1,9,3,100,0,1,2016,2555,0,2012,3,2,2019,3,1,9,5,3,2
16,1,1,1,1.0,1,0,0,31747,29415,2,1,6,2,1,9,3,100,0,1,2016,366,0,2016,1,31,2017,1,31,11,29,1,31
17,1,1,1,1.0,1,0,2,31799,29466,3,1,8,3,1,9,3,100,0,1,2016,365,0,2016,3,28,2017,3,28,9,28,3,28
18,1,1,1,1.0,1,0,0,30794,28464,2,1,4,2,1,9,3,100,0,1,2016,2192,0,2010,10,16,2016,10,16,9,5,10,16
19,1,1,1,1.0,1,0,2,32306,29940,4,1,6,3,1,9,3,100,0,1,2017,3079,0,2010,10,26,2019,4,1,3,10,4,26
20,1,1,1,1.0,1,0,0,31448,29117,2,1,8,3,1,7,3,100,0,1,2017,1096,0,2014,4,5,2017,4,5,1,31,4,5
21,1,1,1,1.0,1,0,2,32583,30214,2,0,5,3,1,9,3,100,0,1,2016,1442,0,2015,5,20,2019,5,1,12,15,5,20
22,6,1,1,1.0,1,0,2,61517,57769,10,1,5,2,1,8,0,100,0,1,2017,3228,0,2010,12,30,2019,11,1,4,12,12,30
23,6,2,1,2.0,1,0,2,61517,57769,10,1,5,2,1,8,0,0,100,1,2017,3228,1,2010,12,30,2019,11,1,5,18,12,30
24,6,2,1,1.0,1,0,2,61547,57799,9,0,5,2,1,8,0,100,0,1,2017,1439,0,2015,4,23,2019,4,1,2,9,4,23
25,6,1,1,2.0,1,0,2,61547,57799,9,0,5,2,1,8,0,100,0,1,2017,1439,1,2015,4,23,2019,4,1,2,3,4,23
26,4,2,2,1.0,1,0,2,93154,85076,8,1,5,2,1,8,3,100,0,1,2017,0,0,2017,4,11,2017,4,11,8,10,4,10
27,4,1,2,2.0,2,0,2,93154,85076,8,1,5,2,1,8,3,100,0,1,2017,0,1,2017,4,11,2017,4,11,4,21,4,10
28,4,1,2,1.0,1,0,2,93163,85085,2,0,4,2,1,8,3,0,0,1,2017,719,0,2017,4,12,2019,4,1,7,27,4,11
29,4,1,2,1.0,1,0,2,1707817,85131,4,0,6,2,1,8,3,0,0,1,2017,716,0,2017,4,15,2019,4,1,9,28,4,14
30,4,1,2,1.0,1,0,0,93316,85225,4,1,6,2,1,8,3,0,0,1,2017,0,0,2017,4,24,2017,4,24,7,21,4,23
31,4,1,2,1.0,1,0,2,93359,83728,2,1,5,2,1,8,3,0,0,1,2017,0,0,2017,4,27,2017,4,27,11,23,4,26
32,4,1,2,1.0,1,0,2,93524,85417,3,0,11,3,1,8,3,100,0,1,2018,720,0,2017,5,11,2019,5,1,1,4,5,10
33,4,1,2,1.0,1,0,2,93807,85678,3,1,6,3,1,8,3,0,0,1,2017,0,0,2017,5,31,2017,5,31,7,28,5,30
34,4,1,2,1.0,1,0,2,94271,86105,4,0,8,2,1,8,3,0,0,1,2017,702,0,2017,6,29,2019,6,1,11,2,6,28
35,9,1,2,1.0,1,0,2,296215,98718,3,0,6,2,1,8,2,0,0,1,2017,713,0,2017,8,18,2019,8,1,12,29,8,18
